athlete_id,first_name,last_name,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
tri_39b7128a6c4f,Nadine,Klive,triathlon,2025-26,2025,D2,Women,Rocky Mountain Athletic Conference,Colorado Mesa,"5'9""",Triathlete,Sr.,Sr,"Harsefeld, Germany",Harsefeld,,international,Friedrich Ludwig Jahn Sportschule Potsdam,0,https://cmumavericks.com/sports/triathlon/roster
tri_c8e541b25381,Mackenzie,Mayer,triathlon,2025-26,2025,D2,Women,Rocky Mountain Athletic Conference,Colorado Mesa,"5'6""",Triathlete,So.,So,"Moab, Utah",Moab,UT,domestic,Grand County,0,https://cmumavericks.com/sports/triathlon/roster
tri_2ad1757bf57f,Kaia,Merrill,triathlon,2025-26,2025,D2,Women,Rocky Mountain Athletic Conference,Colorado Mesa,"5'9""",Triathlete,So.,So,"Salt Lake City, Utah",Salt Lake City,UT,domestic,Skyline,0,https://cmumavericks.com/sports/triathlon/roster
tri_5e168b458d15,Emma,Meyers,triathlon,2025-26,2025,D2,Women,Rocky Mountain Athletic Conference,Colorado Mesa,"5'7""",Triathlete,So.,So,"Pensacola, Fla.",Pensacola,FL,domestic,Booker T. Washington,0,https://cmumavericks.com/sports/triathlon/roster
tri_fb59bad1cbe5,Ellayna,Potter,triathlon,2025-26,2025,D2,Women,Rocky Mountain Athletic Conference,Colorado Mesa,"5'4""",Triathlete,Fr.,Fr,"Fort Collins, Colo.",Fort Collins,CO,domestic,Fort Collins,0,https://cmumavericks.com/sports/triathlon/roster
tri_e22645d84c4e,Alexandra,Schipai,triathlon,2025-26,2025,D2,Women,Rocky Mountain Athletic Conference,Colorado Mesa,"5'6""",Triathlete,Fr.,Fr,"Tallinn, Estonia",Tallinn,,international,Tallinna Mustamäe Gümnaasium,0,https://cmumavericks.com/sports/triathlon/roster
tri_4b094a6812a0,Jaycee,Stephens,triathlon,2025-26,2025,D2,Women,Rocky Mountain Athletic Conference,Colorado Mesa,"5'2""",Triathlete,So.,So,"Cadott, Wisc.",Cadott,WI,domestic,Cadott,0,https://cmumavericks.com/sports/triathlon/roster
tri_31898ffcb922,Shantelle,Tupaz,triathlon,2025-26,2025,D2,Women,Rocky Mountain Athletic Conference,Colorado Mesa,"5'3""",Triathlete,So.,So,"Pleasanton, Calif.",Pleasanton,CA,domestic,Amador Valley,0,https://cmumavericks.com/sports/triathlon/roster
tri_90173ea3a1ee,Josie,Williams,triathlon,2025-26,2025,D2,Women,Rocky Mountain Athletic Conference,Colorado Mesa,"5'9""",Triathlete,Sr.,Sr,"Littleton, Colo.",Littleton,CO,domestic,Columbine,0,https://cmumavericks.com/sports/triathlon/roster
tri_ca5f6797d8a9,Daniela,Lincango,triathlon,2025-26,2025,D2,Women,Conference Carolinas,Emmanuel GA,,Triathlete,So.,So,Ecuador,Ecuador,,international,Colegio Kimen Montessori,0,https://goeulions.com/sports/womens-triathlon/roster
tri_8f43b104359b,Soledad,Moposita,triathlon,2025-26,2025,D2,Women,Conference Carolinas,Emmanuel GA,,Triathlete,Fr.,Fr,"Quito, Ecuador",Quito,,international,,0,https://goeulions.com/sports/womens-triathlon/roster
tri_097a57dc4c81,Oratile,Muthaphuli,triathlon,2025-26,2025,D2,Women,Conference Carolinas,Emmanuel GA,,Triathlete,So.,So,"Johannesburg, South Africa",Johannesburg,,international,,0,https://goeulions.com/sports/womens-triathlon/roster
tri_7cbb2ebfb1d0,Antonia,Vasquez,triathlon,2025-26,2025,D2,Women,Conference Carolinas,Emmanuel GA,,Triathlete,So.,So,"Santiago, Chile",Santiago,,international,Colegio Kimen Montessori,0,https://goeulions.com/sports/womens-triathlon/roster
tri_a977e7361e74,Olivia,Wallach,triathlon,2025-26,2025,D2,Women,Conference Carolinas,Emmanuel GA,,Triathlete,Fr.,Fr,SC,SC,SC,domestic,,0,https://goeulions.com/sports/womens-triathlon/roster
tri_716c5a7c99fe,Aydee,Arredondo,triathlon,2025-26,2025,D2,Women,California Collegiate Athletic Association,Cal Poly Humboldt,"5'1""",Triathlete,Sr.,Sr,"Bakersfield, Calif.",Bakersfield,CA,domestic,Liberty HS,0,https://humboldtathletics.com/sports/triathlon/roster
tri_62e4b655a334,Alexa,Blakey,triathlon,2025-26,2025,D2,Women,California Collegiate Athletic Association,Cal Poly Humboldt,"5'6""",Triathlete,Jr.,Jr,"Anchorage, Alaska",Anchorage,AK,domestic,West Anchorage HS,0,https://humboldtathletics.com/sports/triathlon/roster
tri_3e3e9e2a80c7,Poppy,Edge,triathlon,2025-26,2025,D2,Women,California Collegiate Athletic Association,Cal Poly Humboldt,"5'4""",Triathlete,So.,So,"Pullman, Wash.",Pullman,WA,domestic,Pullman HS,0,https://humboldtathletics.com/sports/triathlon/roster
tri_ffb95853db80,Sierra,Erlandon,triathlon,2025-26,2025,D2,Women,California Collegiate Athletic Association,Cal Poly Humboldt,"5'7""",Triathlete,Jr.,Jr,"Seal Beach, Calif.",Seal Beach,CA,domestic,Los Alamitos HS,0,https://humboldtathletics.com/sports/triathlon/roster
tri_b2990f7856c8,Teagan,Farrell,triathlon,2025-26,2025,D2,Women,California Collegiate Athletic Association,Cal Poly Humboldt,"5'10""",Triathlete,Fr.,Fr,"Clayton, N.C.",Clayton,NC,domestic,Smithfield-Selma Senior HS,0,https://humboldtathletics.com/sports/triathlon/roster
tri_0d2edf97551d,Anna,Hanstveit,triathlon,2025-26,2025,D2,Women,California Collegiate Athletic Association,Cal Poly Humboldt,"5'2""",Triathlete,So.,So,"Fotlandsvåg, Osterøy, Norway",Fotlandsvåg,,international,Tertnes Upper Secondary School,0,https://humboldtathletics.com/sports/triathlon/roster
tri_ac8b6b078619,Emma,Hanstveit,triathlon,2025-26,2025,D2,Women,California Collegiate Athletic Association,Cal Poly Humboldt,"5'2""",Triathlete,So.,So,"Fotlandsvåg, Osterøy, Norway",Fotlandsvåg,,international,Tertnes Upper Secondary School,0,https://humboldtathletics.com/sports/triathlon/roster
tri_193b48a7bacc,Evelyn,Higgins,triathlon,2025-26,2025,D2,Women,California Collegiate Athletic Association,Cal Poly Humboldt,"5'6""",Triathlete,So.,So,"Denver, Colo.",Denver,CO,domestic,Denver East HS,0,https://humboldtathletics.com/sports/triathlon/roster
tri_c2654af1e35f,Rylee,Morris,triathlon,2025-26,2025,D2,Women,California Collegiate Athletic Association,Cal Poly Humboldt,"5'7""",Triathlete,Fr.,Fr,"Richland, Wash.",Richland,WA,domestic,Richland HS,0,https://humboldtathletics.com/sports/triathlon/roster
tri_2d8b86fa16d1,Kallen,Mutchie,triathlon,2025-26,2025,D2,Women,California Collegiate Athletic Association,Cal Poly Humboldt,"5'1""",Triathlete,Fr.,Fr,"Nampa, Idaho",Nampa,ID,domestic,Nampa Online Virtual Academy,1,https://humboldtathletics.com/sports/triathlon/roster
tri_c59efff4d91a,Averill,Payne,triathlon,2025-26,2025,D2,Women,California Collegiate Athletic Association,Cal Poly Humboldt,"5'10""",Triathlete,So.,So,"Decatur, Georgia",Decatur,GA,domestic,Decatur HS,0,https://humboldtathletics.com/sports/triathlon/roster
tri_0a391133cc05,Camille,Shaver,triathlon,2025-26,2025,D2,Women,California Collegiate Athletic Association,Cal Poly Humboldt,"5'1""",Triathlete,Sr.,Sr,"Eureka, Calif.",Eureka,CA,domestic,Eureka Senior High School,0,https://humboldtathletics.com/sports/triathlon/roster
tri_816975e2ae66,Eve,Wendley,triathlon,2025-26,2025,D2,Women,California Collegiate Athletic Association,Cal Poly Humboldt,"6'0""",Triathlete,Jr.,Jr,"Elk Grove, Calif.",Elk Grove,CA,domestic,Cosumnes Oaks HS,0,https://humboldtathletics.com/sports/triathlon/roster
tri_b68352fff5e7,Sophia,Dalla,triathlon,2025-26,2025,D2,Women,South Atlantic Conference,Newberry,"5'3""",Triathlete,Jr.,Jr,Brazil,Brazil,,international,Colégio Luiz de Queiroz,0,https://newberrywolves.com/sports/womens-triathlon/roster/2025
tri_3a2d674e1ead,Daritzamar,Estrada Flores,triathlon,2025-26,2025,D2,Women,South Atlantic Conference,Newberry,"5'7""",Triathlete,Fr.,Fr,"Cidra, Puerto Rico",Cidra,PR,domestic,Albuergue Olimpico Salinas,0,https://newberrywolves.com/sports/womens-triathlon/roster/2025
tri_cc70a864b02a,Kayleigh,Geel,triathlon,2025-26,2025,D2,Women,South Atlantic Conference,Newberry,"5'3""",Triathlete,Jr.,Jr,"Klerksdorp, South Africa",Klerksdorp,,international,Curro Klerksdorp High School,0,https://newberrywolves.com/sports/womens-triathlon/roster/2025
tri_dc635faca58e,Anna,Laskodi,triathlon,2025-26,2025,D2,Women,South Atlantic Conference,Newberry,"5'2""",Triathlete,So.,So,"Merzig, Saarland, Germany",Merzig,,international,Peter-Wust-Gymnasium Merzig,0,https://newberrywolves.com/sports/womens-triathlon/roster/2025
tri_d5614da24cb1,Timea,Laskodi,triathlon,2025-26,2025,D2,Women,South Atlantic Conference,Newberry,"5'5""",Triathlete,So.,So,"Germany, Saarland",Germany,,international,Peter-Wust-Gymnasium Merzig,0,https://newberrywolves.com/sports/womens-triathlon/roster/2025
tri_928233b86c43,Morgan,Barnes,triathlon,2025-26,2025,D2,Women,South Atlantic Conference,Lenoir-Rhyne,"5'7""",Triathlete,Jr.,Jr,"Ross, OH",Ross,OH,domestic,Ross HS,0,https://lrbears.com/sports/triathlon/roster/2025
tri_0363825d13dc,Ana,Brown,triathlon,2025-26,2025,D2,Women,South Atlantic Conference,Lenoir-Rhyne,"5'3""",Triathlete,Fr.,Fr,"Robbinsville, N.J.",Robbinsville,NJ,domestic,Virginia Episcopal School,0,https://lrbears.com/sports/triathlon/roster/2025
tri_38360a5ebaca,Stephenie,Brown,triathlon,2025-26,2025,D2,Women,South Atlantic Conference,Lenoir-Rhyne,"5'5""",Triathlete,Sr.,Sr,"Pasadena, MD",Pasadena,MD,domestic,Chesapeake HS,0,https://lrbears.com/sports/triathlon/roster/2025
tri_db60bab76723,Abigail,Chapman,triathlon,2025-26,2025,D2,Women,South Atlantic Conference,Lenoir-Rhyne,"5'10""",Triathlete,Fr.,Fr,"Granite Falls, NC",Granite Falls,NC,domestic,South Caldwell HS,0,https://lrbears.com/sports/triathlon/roster/2025
