athlete_id,first_name,last_name,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
bw_2435d6ebe494,Sarai,Roberson,bowling,2025-26,2025-26,D3,Women,College Conference of Illinois & Wisconsin,Augustana IL,,Bowler,So.,So,"Chicago, Ill.",Chicago,IL,domestic,South Sores International Prep,1,https://athletics.augustana.edu/sports/womens-bowling/roster/2025-26
bw_34427433fa93,Molly,Singleton,bowling,2025-26,2025-26,D3,Women,College Conference of Illinois & Wisconsin,Augustana IL,,Bowler,Fr.,Fr,Fr.,Fr.,,international,,0,https://athletics.augustana.edu/sports/womens-bowling/roster/2025-26
bw_50e54cbd5398,Ana,Zeglis,bowling,2025-26,2025-26,D3,Women,College Conference of Illinois & Wisconsin,Augustana IL,,Bowler,Fr.,Fr,Fr.,Fr.,,international,,0,https://athletics.augustana.edu/sports/womens-bowling/roster/2025-26
bw_dc1f37c4f919,Arianna,Clayton,bowling,2025-26,2025-26,D2,Women,Central Intercollegiate Athletic Association,Bowie State,"5'4""",Bowler,So.,So,"Dundalk, MD",Dundalk,MD,domestic,Homeschooled (Accelus),1,https://bsubulldogs.com/sports/womens-bowling/roster/2025-26
bw_1546f6ed1af1,Harmony,Manzie,bowling,2025-26,2025-26,D2,Women,Central Intercollegiate Athletic Association,Bowie State,"5'7""",Bowler,So.,So,"Columbus, OH",Columbus,OH,domestic,Centennial HS,0,https://bsubulldogs.com/sports/womens-bowling/roster/2025-26
bw_aae366c1c654,Kamryn,Smith,bowling,2025-26,2025-26,D2,Women,Central Intercollegiate Athletic Association,Bowie State,"5'3""",Bowler,Jr.,Jr,"Accokeek, MD",Accokeek,MD,domestic,Gwynn Park HS,0,https://bsubulldogs.com/sports/womens-bowling/roster/2025-26
bw_61af99bd924a,Nicole,Taylor,bowling,2025-26,2025-26,D2,Women,Central Intercollegiate Athletic Association,Bowie State,"6'0""",Bowler,Sr.,Sr,"Bowie, MD",Bowie,MD,domestic,St. John's College HS,0,https://bsubulldogs.com/sports/womens-bowling/roster/2025-26
bw_247139695794,Nataya,Walker,bowling,2025-26,2025-26,D2,Women,Central Intercollegiate Athletic Association,Bowie State,"5'9""",Bowler,So.,So,"Bowie, MD",Bowie,MD,domestic,Bowie HS,0,https://bsubulldogs.com/sports/womens-bowling/roster/2025-26
bw_261eea833ff8,Jessica,Watts,bowling,2025-26,2025-26,D2,Women,Central Intercollegiate Athletic Association,Bowie State,"5'4""",Bowler,Jr.,Jr,"Fort Washington, MD",Fort Washington,MD,domestic,Friendly HS,0,https://bsubulldogs.com/sports/womens-bowling/roster/2025-26
bw_63ddfe47f922,Heidi,Enriquez,bowling,2025-26,2025-26,D3,Women,Northern Athletics Collegiate Conference,Aurora,,Bowler,So.,So,"Plainfield, Ill.",Plainfield,IL,domestic,Plainfield East,0,https://athletics.aurora.edu/sports/womens-bowling/roster
